,f1,Threshold,feature
10_f1,0.542323723877553,10,DFT
20_f1,0.6173151051771456,20,DFT
30_f1,0.6395001948132383,30,DFT
40_f1,0.7270275689223058,40,DFT
50_f1,0.6708356676003733,50,DFT
10_f1,0.5655510256654914,10,DRFP
20_f1,0.4515237120562198,20,DRFP
30_f1,0.3812939089551099,30,DRFP
40_f1,0.2676777728635313,40,DRFP
50_f1,0.1521465201465201,50,DRFP
10_f1,0.5508601567902096,10,PCA
20_f1,0.5391406365814904,20,PCA
30_f1,0.4021081472127733,30,PCA
40_f1,0.3555905694283505,40,PCA
50_f1,0.3086864267931706,50,PCA
10_f1,0.5538462092058483,10,DFT+DRFP
20_f1,0.6222933529650798,20,DFT+DRFP
30_f1,0.6670722755505365,30,DFT+DRFP
40_f1,0.6075435647943387,40,DFT+DRFP
50_f1,0.4622710622710622,50,DFT+DRFP
10_f1,0.5667867891660766,10,DFT+PCA
20_f1,0.6155482103918637,20,DFT+PCA
30_f1,0.6388168305124827,30,DFT+PCA
40_f1,0.7181822180227754,40,DFT+PCA
50_f1,0.534242620124973,50,DFT+PCA
