,AL+Random,AL Base set,AL Base & Expanded,Random,Threshold
10_f1,0.5538462092058483,0.5232190476190476,0.6009542104683887,0.3604754011544955,10
20_f1,0.6222933529650798,0.5621753300798835,0.6601305377489588,0.0941921470342523,20
30_f1,0.6670722755505365,0.6047484723937814,0.793390065650935,0.0,30
40_f1,0.6075435647943387,0.022051282051282,0.7972635756056807,0.0,40
50_f1,0.4622710622710622,0.0,0.4226390276390276,0.0,50
