,AL+Random,AL Base set,AL Base & Expanded,Random,Threshold
10_f1,0.7539036530066834,0.7126617968075472,0.7238764010515102,0.6425507250092535,10
20_f1,0.745266428906697,0.6822883532245606,0.7061317017024039,0.2255824896232059,20
30_f1,0.4757955733188695,0.5110595995964247,0.5450382203757463,0.071927750410509,30
40_f1,0.3192928072199594,0.2361529063529063,0.2563298275604123,0.095204678362573,40
50_f1,0.0426666666666666,0.0,0.0539393939393939,0.0,50
