parent,smiles_alkyl,inchikey,inchikey_short,id,smiles_aryl,smiles,reaction_smarts
HCYGPROWCVVTHE-HCKMINDGNA-N,[H]c1c([H])c([H])c(C([H])(c2c([H])c([H])c([H])c([H])c2[H])N([H])C(=O)C([H])([H])Br)c([H])c1[H],JQIBYKJUUAAPQL-LELJVTLKNA-N,HCYGPROWCVVTHE,core10,BrC1=CC=C(N2C=NC=C2)C=C1OC,COc1cc(-n2ccnc2)ccc1CC(=O)NC(c1ccccc1)c1ccccc1,O=C(CBr)NC(c1ccccc1)c1ccccc1.COc1cc(-n2ccnc2)ccc1Br>>COc1cc(-n2ccnc2)ccc1CC(=O)NC(c1ccccc1)c1ccccc1
HHFMETIHUMNDBF-UHFFFAOYNA-N,[H]c1c([H])c(Cl)c(C([H])([H])Br)c(B2OC(C([H])([H])[H])(C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])O2)c1[H],UYYURWBPVVWGHP-UHFFFAOYNA-N,HHFMETIHUMNDBF,core10,BrC1=CC=C(N2C=NC=C2)C=C1OC,COc1cc(-n2ccnc2)ccc1Cc1c(Cl)cccc1B1OC(C)(C)C(C)(C)O1,CC1(C)OB(c2cccc(Cl)c2CBr)OC1(C)C.COc1cc(-n2ccnc2)ccc1Br>>COc1cc(-n2ccnc2)ccc1Cc1c(Cl)cccc1B1OC(C)(C)C(C)(C)O1
HHSDZLLPIXMEIU-UHFFFAOYNA-N,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])Br,YGUOGRGZMBWXAT-UHFFFAOYNA-N,HHSDZLLPIXMEIU,core10,BrC1=CC=C(N2C=NC=C2)C=C1OC,CCCCCCCCCCCCCCCCCc1ccc(-n2ccnc2)cc1OC,CCCCCCCCCCCCCCCCCBr.COc1cc(-n2ccnc2)ccc1Br>>CCCCCCCCCCCCCCCCCc1ccc(-n2ccnc2)cc1OC
HIGVZZQJVACQSB-UHFFFAOYNA-N,[H]c1c([H])c(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c([H])c1C([H])([H])C([H])([H])C([H])([H])Br,CBWQISSZSZVEJW-UHFFFAOYNA-N,HIGVZZQJVACQSB,core10,BrC1=CC=C(N2C=NC=C2)C=C1OC,CCCCCCCCc1ccc(CCCc2ccc(-n3ccnc3)cc2OC)cc1,CCCCCCCCc1ccc(CCCBr)cc1.COc1cc(-n2ccnc2)ccc1Br>>CCCCCCCCc1ccc(CCCc2ccc(-n3ccnc3)cc2OC)cc1
HIJNDCHNTWYMKT-UHFFFAOYNA-N,[H]c1c([H])c([H])c(C([H])([H])OC(=O)N2C([H])([H])C([H])([H])C(=O)[C@@]([H])(Br)C2([H])[H])c([H])c1[H],KJVIJIARWVFAMY-HXUWFJFHNA-N,HIJNDCHNTWYMKT,core10,BrC1=CC=C(N2C=NC=C2)C=C1OC,COc1cc(-n2ccnc2)ccc1[C@H]1CN(C(=O)OCc2ccccc2)CCC1=O,O=C1CCN(C(=O)OCc2ccccc2)C[C@@H]1Br.COc1cc(-n2ccnc2)ccc1Br>>COc1cc(-n2ccnc2)ccc1[C@H]1CN(C(=O)OCc2ccccc2)CCC1=O
IAPCKPXQFYWNDN-UHFFFAOYNA-N,[H]c1c([H])c([H])c(C([H])([H])Oc2c([H])c([H])c(C(=O)C([H])([H])Br)c([H])c2[H])c([H])c1[H],YRAITHIHFDNTJH-UHFFFAOYNA-N,IAPCKPXQFYWNDN,core10,BrC1=CC=C(N2C=NC=C2)C=C1OC,COc1cc(-n2ccnc2)ccc1CC(=O)c1ccc(OCc2ccccc2)cc1,O=C(CBr)c1ccc(OCc2ccccc2)cc1.COc1cc(-n2ccnc2)ccc1Br>>COc1cc(-n2ccnc2)ccc1CC(=O)c1ccc(OCc2ccccc2)cc1
IBJHFQRRDNHDBG-UHFFFAOYNA-N,[H]c1c([H])c(C(F)(F)F)c([H])c([H])c1-c1nc(C([H])([H])[H])c(C([H])([H])Br)s1,RDRRJAGWGUHBBZ-UHFFFAOYNA-N,IBJHFQRRDNHDBG,core10,BrC1=CC=C(N2C=NC=C2)C=C1OC,COc1cc(-n2ccnc2)ccc1Cc1sc(-c2ccc(C(F)(F)F)cc2)nc1C,Cc1nc(-c2ccc(C(F)(F)F)cc2)sc1CBr.COc1cc(-n2ccnc2)ccc1Br>>COc1cc(-n2ccnc2)ccc1Cc1sc(-c2ccc(C(F)(F)F)cc2)nc1C
IBZKTVPDAHUHSV-UHFFFAOYNA-N,[H]c1c([H])c([H])c(C([H])([H])Oc2c([H])c([H])c(C([H])([H])C([H])([H])C([H])([H])Br)c([H])c2[H])c([H])c1[H],YTRBZQCMPPFWHA-UHFFFAOYNA-N,IBZKTVPDAHUHSV,core10,BrC1=CC=C(N2C=NC=C2)C=C1OC,COc1cc(-n2ccnc2)ccc1CCCc1ccc(OCc2ccccc2)cc1,BrCCCc1ccc(OCc2ccccc2)cc1.COc1cc(-n2ccnc2)ccc1Br>>COc1cc(-n2ccnc2)ccc1CCCc1ccc(OCc2ccccc2)cc1
IGYSFJHVFHNOEI-UHFFFAOYNA-N,[H]c1c([H])c([H])c(C(C#N)(c2c([H])c([H])c([H])c([H])c2[H])C([H])([H])C([H])([H])Br)c([H])c1[H],WJVXGYDISXSOFW-UHFFFAOYNA-N,IGYSFJHVFHNOEI,core10,BrC1=CC=C(N2C=NC=C2)C=C1OC,COc1cc(-n2ccnc2)ccc1CCC(C#N)(c1ccccc1)c1ccccc1,N#CC(CCBr)(c1ccccc1)c1ccccc1.COc1cc(-n2ccnc2)ccc1Br>>COc1cc(-n2ccnc2)ccc1CCC(C#N)(c1ccccc1)c1ccccc1
IHXHGCDOJLOZML-UHFFFAOYNA-N,[H]c1c(C([H])([H])Br)c([H])c(C(C#N)(C([H])([H])[H])C([H])([H])[H])c([H])c1C(C#N)(C([H])([H])[H])C([H])([H])[H],FADAHXMEUKLAEM-UHFFFAOYNA-N,IHXHGCDOJLOZML,core10,BrC1=CC=C(N2C=NC=C2)C=C1OC,COc1cc(-n2ccnc2)ccc1Cc1cc(C(C)(C)C#N)cc(C(C)(C)C#N)c1,CC(C)(C#N)c1cc(CBr)cc(C(C)(C)C#N)c1.COc1cc(-n2ccnc2)ccc1Br>>COc1cc(-n2ccnc2)ccc1Cc1cc(C(C)(C)C#N)cc(C(C)(C)C#N)c1
