Dataset,r2,mae,rmse,mean,10_acc,10_recall,10_f1,10_precision,10_prc-auc,20_acc,20_recall,20_f1,20_precision,20_prc-auc,30_acc,30_recall,30_f1,30_precision,30_prc-auc,40_acc,40_recall,40_f1,40_precision,40_prc-auc,50_acc,50_recall,50_f1,50_precision,50_prc-auc,features
AL+Random,0.5167545239988808,13.82344472310442,23.352271221419546,13.122008863145625,0.7382022471910114,0.7352380952380951,0.5683919376809513,0.46482264000525453,0.6312663226778547,0.8460674157303373,0.66,0.6211968731256658,0.58879121489106,0.6568675175578896,0.9049438202247191,0.6649999999999998,0.6542171931128452,0.6449880119880119,0.6775782756569274,0.943370786516854,0.667272727272727,0.7448446964112598,0.8547489177489177,0.7815726202636316,0.9379775280898878,0.44799999999999995,0.611342383107089,1.0,0.7550112359550561,DFT+PCA
AL cores 1,0.2935086391048606,18.074372797742612,28.235254042967863,13.929268861825735,0.7134831460674157,0.7647619047619046,0.5577530270472542,0.440733247972175,0.6305003853558039,0.7901123595505617,0.7258823529411765,0.5698335635970687,0.47035307655307657,0.6242974900280255,0.8943820224719101,0.5383333333333333,0.5671179465783315,0.6265328837828837,0.6135567040637266,0.8782022471910114,0.030909090909090907,0.05201465201465202,0.19,0.5303421859039836,0.8876404494382022,0.0,0.0,0.0,0.5561797752808989,DFT+PCA
AL cores 1&2,0.6029831632889436,13.016330980072555,21.161150603874145,13.754408583231344,0.7530337078651685,0.8533333333333333,0.6194572825830782,0.4874881970715163,0.6877141359889417,0.857303370786517,0.7070588235294116,0.6552435143952171,0.6118165583687188,0.6874152190389531,0.9424719101123595,0.8333333333333335,0.7969763408893844,0.765044955044955,0.8104250992453241,0.9755056179775281,0.8636363636363634,0.8960323007782961,0.9360858585858586,0.9082880774032458,0.941573033707865,0.482,0.6360253688519942,0.996,0.7681011235955055,DFT+PCA
Random,0.19239616136411578,15.617321242091455,30.192135823753357,8.035923279530062,0.728314606741573,0.6123809523809525,0.5153794256720073,0.4455273813032434,0.5746845039207495,0.8110112359550563,0.28235294117647064,0.3549220060508884,0.5182883505383505,0.46885997170010724,0.8876404494382022,0.25,0.375,0.75,0.550561797752809,0.8934831460674156,0.2,0.30165567765567763,0.6566666666666666,0.5477715355805244,0.8889887640449439,0.012000000000000002,0.021818181818181816,0.12,0.5615056179775281,DFT+PCA
AL+Random,0.5197091071726326,13.500549112542808,23.27877893910083,12.221698452790855,0.7316853932584272,0.6714285714285714,0.5414462562964227,0.4536653225806452,0.6013109919484285,0.8431460674157304,0.6411764705882353,0.6095958431391868,0.5828889715375783,0.6463023839842552,0.9042696629213482,0.6483333333333333,0.6473590171503215,0.6496929736929736,0.6727210186816928,0.9370786516853933,0.6345454545454545,0.7144180057988108,0.822388888888889,0.7510514413800933,0.9546067415730337,0.5980000000000001,0.7449509803921566,0.9966666666666667,0.8199176029962545,DFT
AL cores 1,0.3870784336528732,15.49072088320093,26.300609717145118,11.628509611192701,0.7334831460674158,0.6666666666666665,0.5414346907993968,0.4558694846125325,0.6005939183362288,0.8123595505617978,0.6588235294117646,0.5730614278979804,0.5082667092124757,0.6161293889750417,0.902247191011236,0.7066666666666666,0.6616518483127178,0.6255893273393274,0.6859032779018736,0.9056179775280898,0.4945454545454545,0.5578489539356413,0.6506125541125541,0.6038149593851841,0.8871910112359549,0.04,0.06200266400266401,0.157,0.4324325842696629,DFT
AL cores 1&2,0.6149092291594326,12.456758003657669,20.83536759298745,12.502173664246781,0.755505617977528,0.6742857142857142,0.5657182326594598,0.4877462944967117,0.6194429706833479,0.8514606741573035,0.6976470588235293,0.6425511959753446,0.5964119746782286,0.6759059212452612,0.9370786516853933,0.825,0.7801304843304843,0.7413736263736266,0.7949845659958021,0.9703370786516854,0.7945454545454546,0.8674986940341631,0.9627272727272728,0.8913329928498467,0.9579775280898878,0.628,0.7653548085901026,0.9975,0.8336488764044944,DFT
Random,0.18201815625708864,15.188414235950523,30.385779759859236,7.125799315494337,0.7534831460674158,0.5428571428571429,0.5096324597538079,0.482410471321116,0.5665663913587924,0.816629213483146,0.1941176470588235,0.28653257788909964,0.5754285714285714,0.461739401378529,0.8876404494382022,0.25,0.375,0.75,0.550561797752809,0.8982022471910112,0.2672727272727273,0.393142857142857,0.745,0.5514172625127681,0.9040449438202245,0.16399999999999998,0.27358974358974364,0.89,0.5939662921348315,DFT
AL+Random,0.1453508793890621,18.738938294844534,31.058855808686236,15.040347379664386,0.6937078651685392,0.82,0.5591983189807305,0.4251332167259074,0.6438025634191336,0.7914606741573033,0.7541176470588234,0.5803730037557753,0.4721015774774396,0.6365927583355473,0.815955056179775,0.39000000000000007,0.36409537696268446,0.34970492905787026,0.4109760600345531,0.860674157303371,0.2109090909090909,0.25768026022824786,0.3736520146520146,0.341044597724373,0.8759550561797752,0.09799999999999998,0.15054945054945054,0.325,0.2621741573033708,DRFP
AL cores 1,0.16191268048003932,17.003364182941503,30.757466406126387,10.086547279717331,0.7112359550561799,0.5723809523809523,0.48350924369747894,0.418743295019157,0.5460115619023018,0.7988764044943819,0.6388235294117647,0.5506342410335027,0.4885298890355493,0.5981710912461289,0.8856179775280899,0.24333333333333332,0.36350840336134455,0.725,0.5351779026217228,0.8761797752808989,0.0036363636363636364,0.006153846153846154,0.02,0.543391215526047,0.8876404494382022,0.0,0.0,0.0,0.5561797752808989,DRFP
AL cores 1&2,0.12831299023899395,19.875473220593236,31.363654127971618,17.397815742616555,0.6525842696629214,0.8390476190476189,0.5338411864807724,0.3925537371072035,0.634789442122355,0.7748314606741573,0.7635294117647058,0.5658533693013222,0.4505483147932716,0.6296231329419101,0.8112359550561797,0.4966666666666667,0.41463261234224136,0.35782657177703614,0.4611792034915143,0.8343820224719102,0.33454545454545453,0.33310843788707556,0.354023199023199,0.3854079222899447,0.8707865168539325,0.158,0.20564609635440165,0.3332490842490842,0.292927912911059,DRFP
Random,-0.13154459318735282,17.480399389775986,35.73963587624005,4.623051630170517,0.6952808988764043,0.037142857142857144,0.05240484287548019,0.0944997224997225,0.1794167954392673,0.7642696629213483,0.0,0.0,0.0,0.09550561797752807,0.8586516853932585,0.0,0.0,0.0,0.4774157303370785,0.8764044943820225,0.0,0.0,0.0,0.5617977528089888,0.8876404494382022,0.0,0.0,0.0,0.5561797752808989,DRFP
AL+Random,0.1160832019833672,21.31505488019919,31.58231847819561,19.63103692273467,0.6411235955056179,0.9152380952380952,0.5465092814811603,0.389865544467533,0.6625518198528142,0.7453932584269662,0.7682352941176469,0.5357205862954707,0.4115832516257253,0.6120441043323603,0.7889887640449438,0.5483333333333333,0.41051296456493414,0.32847737475130123,0.46885479224456444,0.8022471910112359,0.3963636363636363,0.33151104093862716,0.2858688387635756,0.3784196083501227,0.8534831460674158,0.31000000000000005,0.31941114770573653,0.3383682428682429,0.3629481663779417,PCA
AL cores 1,0.05507308697262079,24.96262482485962,32.65274420961023,22.39225716563382,0.29775280898876405,1.0,0.4025437128061363,0.2521240619543722,0.6260620309771862,0.5595505617977529,0.8258823529411763,0.4179980197505169,0.28004757167029004,0.5695941757888792,0.7759550561797752,0.5183333333333333,0.37825017487852053,0.3134019103037857,0.4483395319309191,0.8703370786516854,0.030909090909090907,0.04414537096890039,0.1037142857142857,0.3771993287611265,0.8880898876404495,0.004,0.006666666666666667,0.02,0.5579550561797753,PCA
AL cores 1&2,0.15275754838380481,20.94299646749726,30.918687042728724,19.843866877041545,0.6305617977528091,0.9228571428571428,0.541264432558948,0.38317685801782575,0.66211812403299,0.733932584269663,0.76,0.5219331972032312,0.3976952988653653,0.6017689977472894,0.7694382022471911,0.49833333333333335,0.36718915154546244,0.29142717694802767,0.4287004798597816,0.8170786516853932,0.4545454545454545,0.3824490648448669,0.3322374374851155,0.42709931118382444,0.8737078651685394,0.45,0.4457376913181193,0.44732578532578526,0.47956176906738707,PCA
Random,0.07970239753817268,16.78903945435604,32.230841362933674,7.417272428967084,0.7175280898876406,0.359047619047619,0.37251577163473676,0.39205068671926646,0.45116713041153267,0.8496629213483147,0.29294117647058826,0.4269538866930172,0.7921904761904761,0.6100939162181727,0.8761797752808989,0.10166666666666666,0.17475824175824178,0.85,0.5663951310861424,0.8770786516853935,0.005454545454545454,0.01,0.06,0.5641879468845761,0.8876404494382022,0.0,0.0,0.0,0.5561797752808989,PCA
